CPUBID,MPUBID,CRACE,CSEX,AFDC_1994,AFDC_1996,AFDC_1998,FOODSTAMPS_1994,FOODSTAMPS_1996,FOODSTAMPS_1998,FOODSTAMPS_2000,FOODSTAMPS_2002,FOODSTAMPS_2004,FOODSTAMPS_2006,FOODSTAMPS_2008,FOODSTAMPS_2010,FOODSTAMPS_2012,FOODSTAMPS_2014,FOODSTAMPS_2016,GED_EVER,HSDIPLOMA_EVER,PROFDEGREE_EVER,snap_ever,tanf_ever,program_group,edu_level,edu_label
201,2,3,2.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,1.0,HS or GED
202,2,3,2.0,,,,,,,,,,,,,,,,,,,,,,,
301,3,3,2.0,,,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,Neither,1.0,HS or GED
302,3,3,2.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,Neither,1.0,HS or GED
303,3,3,2.0,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
401,4,3,1.0,,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Neither,0.0,No HS / GED
403,4,3,2.0,,,,,,,,,,,,,,,,,,,,,,,
801,8,3,2.0,1.0,1.0,,1.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,1.0,0.0,0.0,1.0,1.0,Both SNAP and TANF,1.0,HS or GED
802,8,3,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,Neither,1.0,HS or GED
803,8,3,2.0,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,Neither,1.0,HS or GED
1001,10,3,2.0,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,,1.0,HS or GED
1002,10,3,2.0,,,,,,,,,,,,,,,,,,,,,,,
1201,12,3,1.0,,,,,,,,,,,,,,,,,,,,,,,
1202,12,3,1.0,,,,,,,,,,,,,,,,,,,,,,,
1601,16,3,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
1602,16,3,1.0,,,,,,,,,,,,,0.0,0.0,,0.0,1.0,0.0,,,,1.0,HS or GED
1603,16,3,2.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
1901,19,3,2.0,,,,,,,,,,,,0.0,,,,0.0,1.0,0.0,,,,1.0,HS or GED
2001,20,3,2.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
2501,25,3,1.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
2502,25,3,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
2701,27,3,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0,HS or GED
2702,27,3,1.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
3001,30,3,1.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,,1.0,HS or GED
3002,30,3,1.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0,HS or GED
3003,30,3,1.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
3501,35,3,2.0,,,,,,,,,,,,,,,,,,,,,,,
