CPUBID,MPUBID,CRACE,CSEX,AFDC_1994,AFDC_1996,AFDC_1998,FOODSTAMPS_1994,FOODSTAMPS_1996,FOODSTAMPS_1998,FOODSTAMPS_2000,FOODSTAMPS_2002,FOODSTAMPS_2004,FOODSTAMPS_2006,FOODSTAMPS_2008,FOODSTAMPS_2010,FOODSTAMPS_2012,FOODSTAMPS_2014,FOODSTAMPS_2016,GED_EVER,HSDIPLOMA_EVER,PROFDEGREE_EVER
201,2,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,1,0
202,2,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
301,3,3,2,-7,-7,0,-7,-2,0,-7,0,-7,-7,0,0,0,0,-7,1,0,0
302,3,3,2,-7,-7,0,-7,-7,0,0,0,-7,-7,0,0,-7,-7,-7,1,0,0
303,3,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,0,0,0,0,0,1,0
401,4,3,1,-7,-7,0,-7,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0
403,4,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
801,8,3,2,1,1,-7,1,1,-7,0,0,1,1,0,0,-7,0,-7,1,0,0
802,8,3,1,-7,0,0,0,0,0,0,0,0,0,0,-7,0,-7,0,1,0,0
803,8,3,2,-7,-7,0,-7,-7,0,-7,0,0,0,0,0,0,-7,0,0,1,0
1001,10,3,2,-7,-7,-7,-7,-7,-7,-7,0,-7,-7,-7,0,0,-7,0,0,1,0
1002,10,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1201,12,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1202,12,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1601,16,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0,1,0
1602,16,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,-7,0,1,0
1603,16,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,1,0
1901,19,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,-7,-7,-7,0,1,0
2001,20,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,1,0
2501,25,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,1,0
2502,25,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,1,0
2701,27,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0,0,1,0
2702,27,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,1,0
3001,30,3,1,-7,-7,-7,-7,-7,-7,-7,0,-7,0,0,0,0,-7,0,0,1,0
3002,30,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0,0,1,0
