code,name
C0000100,CPUBID_XRND
C0000200,MPUBID_XRND
C0000300,CSIBID01_XRND
C0000400,CSIBID02_XRND
C0000500,CSIBID03_XRND
C0000600,CSIBID04_XRND
C0000700,CSIBID05_XRND
C0000800,CSIBID06_XRND
C0000810,CSIBID07_XRND
C0000811,CSIBID08_XRND
C0000812,CSIBID09_XRND
C0000813,CSIBID10_XRND
C0000900,SPOUSEID_XRND
C0001000,SISTID1_XRND
C0001100,SISTID2_XRND
C0001200,SISTID3_XRND
C0001300,SISTID4_XRND
C0003800,AGECH1979_1979
C0003900,AGECH1980_1980
C0004000,AGECH1981_1981
C0004100,AGECH1982_1982
C0004200,AGECH1983_1983
C0004300,AGECH1984_1984
C0004400,AGECH1985_1985
C0004500,AGECH1986_1986
C0004600,AGECH1987_1987
C0004700,AGECH1988_1988
C0004710,AGECH1989_1989
C0004720,AGECH1990_1990
C0004730,AGECH1991_1991
C0004740,AGECH1992_1992
C0004741,AGECH1993_1993
C0004742,AGECH1994_1994
C0004743,AGECH1996_1996
C0004744,AGECH1998_1998
C0004745,AGECH2000_2000
C0004746,AGECH2002_2002
C0004747,AGECH2004_2004
C0004748,AGECH2006_2006
C0004800,YGSTCH1982_1982
C0004900,YGSTCH1983_1983
C0005000,YGSTCH1984_1984
C0005100,YGSTCH1985_1985
C0005200,FSTYRAFT_XRND
C0005300,CRACE_XRND
C0005400,CSEX_XRND
C0005500,CMOB_XRND
C0005700,CYRB_XRND
C0005701,CMODEATH_XRND
C0005702,CYRDEATH_XRND
C0005800,BTHORDR_XRND
C0006500,CSAGE1986_1986
C0006600,MSAGE1986_1986
C0006700,CSGRAD1986_1986
C0006800,CSAGE1988_1988
C0006900,MSAGE1988_1988
C0007000,MAGEBIR_XRND
C0007010,CSAGE1990_1990
C0007020,MSAGE1990_1990
C0007030,CSAGE1992_1992
C0007040,MSAGE1992_1992
C0007041,CSAGE1994_1994
C0007042,MSAGE1994_1994
C0007043,CSAGE1996_1996
C0007044,MSAGE1996_1996
C0007045,CSAGE1998_1998
C0007046,MSAGE1998_1998
C0007047,CSAGE2000_2000
C0007048,MSAGE2000_2000
C0007049,CSAGE2002_2002
C0007050,MSAGE2002_2002
C0007051,CSASAGE2002_2002
C0007052,CSAGE2004_2004
C0007053,MSAGE2004_2004
C0007054,CSASAGE2004_2004
C0007055,CSAGE2006_2006
C0007056,MSAGE2006_2006
C0007100,CRES1979_1979
C0007200,CRES1980_1980
C0007300,CRES1981_1981
C0007400,CRES1982_1982
C0007500,CRES1983_1983
C0007600,CRES1984_1984
C0007700,CRES1985_1985
C0007800,CRES1986_1986
C0007900,CRES1987_1987
C0008000,CRES1988_1988
C0008010,CRES1989_1989
C0008020,CRES1990_1990
C0008030,CRES1991_1991
C0008040,CRES1992_1992
C0008042,CRES1994_1994
C0008043,CRES1996_1996
C0008044,CRES1998_1998
C0008045,CRES2000_2000
C0008046,CRES2002_2002
C0008047,CRES2004_2004
C0008048,CRES2006_2006
C0008100,DADHM1984_1984
C0008200,DADLIV1984_1984
C0008300,DADDIS1984_1984
C0008400,DADSEE1984_1984
C0008500,DADVIS1984_1984
C0008600,DADHM1985_1985
C0008700,DADLIV1985_1985
C0008800,DADDIS1985_1985
C0008900,DADSEE1985_1985
C0009000,DADVIS1985_1985
C0009100,DADHM1986_1986
C0009200,DADLIV1986_1986
C0009300,DADDIS1986_1986
C0009400,DADSEE1986_1986
C0009500,DADVIS1986_1986
C0009600,DADHM1987_1987
C0009700,DADHM1988_1988
C0009800,DADLIV1988_1988
C0009900,DADDIS1988_1988
C0010000,DADSEE1988_1988
C0010100,DADVIS1988_1988
C0010110,DADHM1989_1989
C0010200,DADHM1990_1990
C0010300,DADLIV1990_1990
C0010400,DADDIS1990_1990
C0010500,DADSEE1990_1990
C0010600,DADVIS1990_1990
C0010700,DADHM1992_1992
C0010800,DADLIV1992_1992
C0010900,DADDIS1992_1992
C0011000,DADSEE1992_1992
C0011100,DADVIS1992_1992
C0011110,DADHM1993_1993
C0011111,DADLIV1993_1993
C0011112,DADHM1994_1994
C0011113,DADLIV1994_1994
C0011114,DADDIS1994_1994
C0011115,DADSEE1994_1994
C0011116,DADVIS1994_1994
C0011117,DADHM1996_1996
C0011118,DADLIV1996_1996
C0011119,DADDIS1996_1996
C0011120,DADSEE1996_1996
C0011121,DADVIS1996_1996
C0011122,DADHM1998_1998
C0011123,DADLIV1998_1998
C0011124,DADDIS1998_1998
C0011125,DADSEE1998_1998
C0011126,DADVIS1998_1998
C0011127,DADHM2000_2000
C0011128,DADLIV2000_2000
C0011129,DADDIS2000_2000
C0011130,DADSEE2000_2000
