refnum,varname,year,topic,label
C00001.00,CPUBID,XRND,ids,ID CODE OF CHILD
C00002.00,MPUBID,XRND,ids,ID CODE OF MOTHER OF CHILD
C00003.00,CSIBID01,XRND,ids,ID CODE OF 1ST SIBLING OF CHILD
C00004.00,CSIBID02,XRND,ids,ID CODE OF 2ND SIBLING OF CHILD
C00005.00,CSIBID03,XRND,ids,ID CODE OF 3RD SIBLING OF CHILD
C00006.00,CSIBID04,XRND,ids,ID CODE OF 4TH SIBLING OF CHILD
C00007.00,CSIBID05,XRND,ids,ID CODE OF 5TH SIBLING OF CHILD
C00008.00,CSIBID06,XRND,ids,ID CODE OF 6TH SIBLING OF CHILD
C00008.10,CSIBID07,XRND,ids,ID CODE OF 7TH SIBLING OF CHILD
C00008.11,CSIBID08,XRND,ids,ID CODE OF 8TH SIBLING OF CHILD
C00008.12,CSIBID09,XRND,ids,ID CODE OF 9TH SIBLING OF CHILD
C00008.13,CSIBID10,XRND,ids,ID CODE OF 10TH SIBLING OF CHILD
C00009.00,SPOUSEID,XRND,ids,ID CODE OF INTERVIEWED SPOUSE OF MOTHER
C00010.00,SISTID1,XRND,ids,ID CODE OF 1ST INTERVIEWED SISTER OF MOTHER
C00011.00,SISTID2,XRND,ids,ID CODE OF 2ND INTERVIEWED SISTER OF MOTHER
C00012.00,SISTID3,XRND,ids,ID CODE OF 3RD INTERVIEWED SISTER OF MOTHER
C00013.00,SISTID4,XRND,ids,ID CODE OF 4TH INTERVIEWED SISTER OF MOTHER
C00053.00,CRACE,XRND,demographics,RACE OF CHILD (MOTHER'S RACIAL/ETHNIC COHORT FROM SCREENER)
C00054.00,CSEX,XRND,demographics,SEX OF CHILD
C00535.00,HGCDOI1979,1979,highest_grade,TERTIARY VARIABLE
C00535.02,HGCREV1979,1979,highest_grade,HIGHEST GRADE COMPLETED BY MOTHER AS OF MAY 1 SURVEY YEAR (REVISED)
C00541.00,HGCDOI1980,1980,highest_grade,TERTIARY VARIABLE
C00541.01,HGCREV1980,1980,highest_grade,HIGHEST GRADE COMPLETED BY MOTHER AS OF MAY 1 SURVEY YEAR (REVISED)
C00551.00,HGCDOI1981,1981,highest_grade,TERTIARY VARIABLE
C00551.01,HGCREV1981,1981,highest_grade,HIGHEST GRADE COMPLETED BY MOTHER AS OF MAY 1 SURVEY YEAR (REVISED)
C00575.00,HGCDOI1982,1982,highest_grade,TERTIARY VARIABLE
C00575.01,HGCREV1982,1982,highest_grade,HIGHEST GRADE COMPLETED BY MOTHER AS OF MAY 1 SURVEY YEAR (REVISED)
C00581.00,HGCDOI1983,1983,highest_grade,TERTIARY VARIABLE
C00581.01,HGCREV1983,1983,highest_grade,HIGHEST GRADE COMPLETED BY MOTHER AS OF MAY 1 SURVEY YEAR (REVISED)
C00587.00,HGCDOI1984,1984,highest_grade,TERTIARY VARIABLE
C00587.01,HGCREV1984,1984,highest_grade,HIGHEST GRADE COMPLETED BY MOTHER AS OF MAY 1 SURVEY YEAR (REVISED)
C00593.00,HGCDOI1985,1985,highest_grade,TERTIARY VARIABLE
C00593.01,HGCREV1985,1985,highest_grade,HIGHEST GRADE COMPLETED BY MOTHER AS OF MAY 1 SURVEY YEAR (REVISED)
C00599.00,HGCDOI1986,1986,highest_grade,TERTIARY VARIABLE
C00599.01,HGCREV1986,1986,highest_grade,HIGHEST GRADE COMPLETED BY MOTHER AS OF MAY 1 SURVEY YEAR (REVISED)
C00605.00,HGCDOI1987,1987,highest_grade,TERTIARY VARIABLE
C00611.00,HGCDOI1988,1988,highest_grade,TERTIARY VARIABLE
C00611.06,HGCDOI1989,1989,highest_grade,TERTIARY VARIABLE
C00611.12,HGCDOI1990,1990,highest_grade,TERTIARY VARIABLE
C00611.14,HGCDOI1991,1991,highest_grade,TERTIARY VARIABLE
C00611.16,HGCDOI1992,1992,highest_grade,TERTIARY VARIABLE
C00611.18,HGCDOI1993,1993,highest_grade,TERTIARY VARIABLE
C00611.20,HGCDOI1994,1994,highest_grade,TERTIARY VARIABLE
C00611.22,HGCDOI1996,1996,highest_grade,TERTIARY VARIABLE
C00611.24,HGCDOI1998,1998,highest_grade,TERTIARY VARIABLE
C00611.26,HGCDOI2000,2000,highest_grade,TERTIARY VARIABLE
C00611.28,HGCDOI2002,2002,highest_grade,TERTIARY VARIABLE
C00611.30,HGCDOI2004,2004,highest_grade,TERTIARY VARIABLE
C00611.32,HGCDOI2006,2006,highest_grade,TERTIARY VARIABLE
C00611.33,HGCREV1987,1987,highest_grade,HIGHEST GRADE COMPLETED BY MOTHER AS OF MAY 1 SURVEY YEAR (REVISED)
C00611.34,HGCREV1988,1988,highest_grade,HIGHEST GRADE COMPLETED BY MOTHER AS OF MAY 1 SURVEY YEAR (REVISED)
C00611.35,HGCREV1989,1989,highest_grade,HIGHEST GRADE COMPLETED BY MOTHER AS OF MAY 1 SURVEY YEAR (REVISED)
C00611.36,HGCREV1990,1990,highest_grade,HIGHEST GRADE COMPLETED BY MOTHER AS OF MAY 1 SURVEY YEAR (REVISED)
C00611.37,HGCREV1991,1991,highest_grade,HIGHEST GRADE COMPLETED BY MOTHER AS OF MAY 1 SURVEY YEAR (REVISED)
C00611.38,HGCREV1992,1992,highest_grade,HIGHEST GRADE COMPLETED BY MOTHER AS OF MAY 1 SURVEY YEAR (REVISED)
C00611.39,HGCREV1993,1993,highest_grade,HIGHEST GRADE COMPLETED BY MOTHER AS OF MAY 1 SURVEY YEAR (REVISED)
